image,snr_db,draw,reference_subset,oracle_subset,uses_saved
0821.png,10.0,0.0,0.0,0.0,0.0
0821.png,10.0,1.0,0.0,0.0,0.0
0821.png,10.0,2.0,0.0,0.0,0.0
0821.png,10.0,3.0,0.0,0.0,0.0
0822.png,10.0,0.0,0.0,0.0,0.0
0822.png,10.0,1.0,0.0,0.0,0.0
0822.png,10.0,2.0,0.0,0.0,0.0
0822.png,10.0,3.0,0.0,0.0,0.0
0823.png,10.0,0.0,0.0,0.0,0.0
0823.png,10.0,1.0,0.0,0.0,0.0
0823.png,10.0,2.0,0.0,0.0,0.0
0823.png,10.0,3.0,0.0,0.0,0.0
0824.png,10.0,0.0,15.0,15.0,0.0
0824.png,10.0,1.0,15.0,15.0,0.0
0824.png,10.0,2.0,15.0,15.0,0.0
0824.png,10.0,3.0,15.0,15.0,0.0
0825.png,10.0,0.0,0.0,0.0,0.0
0825.png,10.0,1.0,0.0,0.0,0.0
0825.png,10.0,2.0,0.0,0.0,0.0
0825.png,10.0,3.0,0.0,0.0,0.0
0826.png,10.0,0.0,15.0,15.0,0.0
0826.png,10.0,1.0,15.0,15.0,0.0
0826.png,10.0,2.0,15.0,15.0,0.0
0826.png,10.0,3.0,15.0,15.0,0.0
0827.png,10.0,0.0,0.0,0.0,0.0
0827.png,10.0,1.0,0.0,0.0,0.0
0827.png,10.0,2.0,0.0,0.0,0.0
0827.png,10.0,3.0,0.0,0.0,0.0
0828.png,10.0,0.0,15.0,15.0,0.0
0828.png,10.0,1.0,15.0,15.0,0.0
0828.png,10.0,2.0,15.0,15.0,0.0
0828.png,10.0,3.0,15.0,15.0,0.0
0829.png,10.0,0.0,15.0,15.0,0.0
0829.png,10.0,1.0,15.0,15.0,0.0
0829.png,10.0,2.0,15.0,15.0,0.0
0829.png,10.0,3.0,15.0,15.0,0.0
0830.png,10.0,0.0,0.0,0.0,0.0
0830.png,10.0,1.0,0.0,0.0,0.0
0830.png,10.0,2.0,0.0,0.0,0.0
0830.png,10.0,3.0,0.0,0.0,0.0
0831.png,10.0,0.0,0.0,0.0,0.0
