model,image,image_sha256,draw,noise_seed,snr_db,payload_uses,scale_uses,feedback_uses,cbr_payload,cbr_total,mse,psnr,lpips,ms_ssim,diffusion_nfe,diffusion_seconds
CDDM_author_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,0,162308178,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0033759947400540113,24.715984344482422,0.2421410232782364,0.9270526170730591,93,1.5852775889798068
CDDM_author_JSCC_snr13_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,0,162308178,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.003515479853376746,24.5401554107666,0.23404160141944885,0.9232523441314697,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,0,162308178,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0037061560433357954,24.31076431274414,0.25540104508399963,0.925014853477478,0,0.0
CDDM_author_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,1,963342149,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.003360210685059428,24.73633575439453,0.23713421821594238,0.9239019751548767,93,1.5253785849781707
CDDM_author_JSCC_snr13_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,1,963342149,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0034298631362617016,24.647232055664062,0.2319561392068863,0.9222502708435059,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,1,963342149,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0036241605412214994,24.40792465209961,0.2556975483894348,0.9250345230102539,0,0.0
CDDM_author_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,2,2258634075,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0033454603981226683,24.755441665649414,0.23149792850017548,0.9240553379058838,93,1.5196011909865774
CDDM_author_JSCC_snr13_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,2,2258634075,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.003427320858463645,24.65045166015625,0.2225058674812317,0.9216687679290771,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,2,2258634075,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0035826843231916428,24.457914352416992,0.25743553042411804,0.9246394634246826,0,0.0
CDDM_author_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,3,2790212351,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0033846970181912184,24.704801559448242,0.24167925119400024,0.9246088862419128,93,1.5224389369832352
CDDM_author_JSCC_snr13_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,3,2790212351,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0034407791681587696,24.63343048095703,0.2339021861553192,0.9222910404205322,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,3,2790212351,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.003658922854810953,24.366470336914062,0.2543601393699646,0.9259188175201416,0,0.0
CDDM_author_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,4,1259171946,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0034024501219391823,24.682083129882812,0.2451520413160324,0.9238156080245972,93,1.5864821629947983
CDDM_author_JSCC_snr13_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,4,1259171946,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0034823589958250523,24.58126449584961,0.23810993134975433,0.9201264381408691,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,4,1259171946,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.003664853051304817,24.359434127807617,0.2511875629425049,0.9229660034179688,0,0.0
CDDM_author_C36_paid_scale,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,5,3344109754,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.00342846242710948,24.64900779724121,0.24253036081790924,0.9250631332397461,93,3.4024573410279118
