model,image,image_sha256,snr_db,draw,noise_seed,payload_uses,scale_uses,rate_map_bits,rate_map_uses,feedback_uses,cbr_payload,cbr_total,mse,psnr,ms_ssim,lpips
ntscc_quality2_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,0,162308178,10378.0,32,1024,2048,2,0.052785237630208336,0.06337483723958333,0.001591467298567295,27.982025146484375,0.9656722545623779,0.08234629034996033
ntscc_quality2_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,1,963342149,10378.0,32,1024,2048,2,0.052785237630208336,0.06337483723958333,0.0016027193050831556,27.951427459716797,0.9660950899124146,0.08747047185897827
ntscc_quality2_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,2,2258634075,10378.0,32,1024,2048,2,0.052785237630208336,0.06337483723958333,0.0016181855462491512,27.909717559814453,0.9658058881759644,0.0897940918803215
ntscc_quality2_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,3,2790212351,10378.0,32,1024,2048,2,0.052785237630208336,0.06337483723958333,0.001606834470294416,27.940290451049805,0.9659697413444519,0.08604622632265091
ntscc_quality2_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,4,1259171946,10378.0,32,1024,2048,2,0.052785237630208336,0.06337483723958333,0.0016096513718366623,27.93268394470215,0.9667829275131226,0.08193548023700714
ntscc_quality2_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,5,3344109754,10378.0,32,1024,2048,2,0.052785237630208336,0.06337483723958333,0.0016059214249253273,27.94275665283203,0.9661321043968201,0.0869201123714447
ntscc_quality2_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,6,3704916121,10378.0,32,1024,2048,2,0.052785237630208336,0.06337483723958333,0.0015873245429247618,27.993343353271484,0.9662870764732361,0.07975663244724274
ntscc_quality2_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,7,1240141978,10378.0,32,1024,2048,2,0.052785237630208336,0.06337483723958333,0.0015927129425108433,27.978626251220703,0.9665343165397644,0.08593408763408661
ntscc_quality2_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,8,1760099060,10378.0,32,1024,2048,2,0.052785237630208336,0.06337483723958333,0.001607411541044712,27.938730239868164,0.9654550552368164,0.08496139198541641
ntscc_quality2_paid_metadata,01.png,a56e27cbf5f843c048b6af1d6e090760e9c92fadba88b7dee0205918a37523bd,10.0,9,1557963217,10378.0,32,1024,2048,2,0.052785237630208336,0.06337483723958333,0.0015933357644826174,27.9769287109375,0.9659042358398438,0.08131274580955505
ntscc_quality2_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,0,1847583015,6236.0,32,1024,2048,2,0.031717936197916664,0.042307535807291664,0.0005953017971478403,32.252628326416016,0.9508727788925171,0.18449155986309052
ntscc_quality2_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,1,1712298192,6236.0,32,1024,2048,2,0.031717936197916664,0.042307535807291664,0.0005845491541549563,32.331790924072266,0.9504822492599487,0.1861717700958252
ntscc_quality2_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,2,2661747810,6236.0,32,1024,2048,2,0.031717936197916664,0.042307535807291664,0.0005854269838891923,32.32527160644531,0.9502364993095398,0.1947542130947113
ntscc_quality2_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,3,369895959,6236.0,32,1024,2048,2,0.031717936197916664,0.042307535807291664,0.0005934652290306985,32.266048431396484,0.9498173594474792,0.18746417760849
ntscc_quality2_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,4,2095440460,6236.0,32,1024,2048,2,0.031717936197916664,0.042307535807291664,0.000591483258176595,32.280574798583984,0.9500834941864014,0.18354465067386627
ntscc_quality2_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,5,1123466677,6236.0,32,1024,2048,2,0.031717936197916664,0.042307535807291664,0.0005856634816154838,32.32352066040039,0.950098991394043,0.1945144385099411
ntscc_quality2_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,6,60553645,6236.0,32,1024,2048,2,0.031717936197916664,0.042307535807291664,0.000578138162381947,32.37968444824219,0.9503668546676636,0.18571965396404266
ntscc_quality2_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,7,4197413953,6236.0,32,1024,2048,2,0.031717936197916664,0.042307535807291664,0.000590136565733701,32.29047393798828,0.9506194591522217,0.1864161193370819
ntscc_quality2_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,8,3877328360,6236.0,32,1024,2048,2,0.031717936197916664,0.042307535807291664,0.0005901062395423651,32.29069519042969,0.9505230188369751,0.1938791275024414
ntscc_quality2_paid_metadata,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,10.0,9,3807261312,6236.0,32,1024,2048,2,0.031717936197916664,0.042307535807291664,0.0005840699886903167,32.33535385131836,0.9495493173599243,0.19096721708774567
ntscc_quality2_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,0,3687849831,6233.0,32,1024,2048,2,0.031702677408854164,0.042292277018229164,0.0004998458316549659,33.01164245605469,0.9717682600021362,0.06834187358617783
ntscc_quality2_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,1,2694932120,6233.0,32,1024,2048,2,0.031702677408854164,0.042292277018229164,0.0004967630375176668,33.038509368896484,0.9719521403312683,0.06643787771463394
ntscc_quality2_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,2,1212515068,6233.0,32,1024,2048,2,0.031702677408854164,0.042292277018229164,0.0005042328266426921,32.973690032958984,0.9722533226013184,0.06554527580738068
ntscc_quality2_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,3,1452476945,6233.0,32,1024,2048,2,0.031702677408854164,0.042292277018229164,0.0005132756195962429,32.8964958190918,0.9717361927032471,0.06557433307170868
ntscc_quality2_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,4,3521783118,6233.0,32,1024,2048,2,0.031702677408854164,0.042292277018229164,0.00050205341540277,32.99250030517578,0.9716708064079285,0.06947926431894302
ntscc_quality2_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,5,4270040323,6233.0,32,1024,2048,2,0.031702677408854164,0.042292277018229164,0.00053009222028777,32.75648498535156,0.971441924571991,0.06709777563810349
ntscc_quality2_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,6,3239262627,6233.0,32,1024,2048,2,0.031702677408854164,0.042292277018229164,0.0005154205719009042,32.87838363647461,0.9715718030929565,0.06497953087091446
ntscc_quality2_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,7,2698752677,6233.0,32,1024,2048,2,0.031702677408854164,0.042292277018229164,0.0005360033246688545,32.70832443237305,0.971348762512207,0.06909365952014923
ntscc_quality2_paid_metadata,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,10.0,8,1730656629,6233.0,32,1024,2048,2,0.031702677408854164,0.042292277018229164,0.0005160895525477827,32.87274932861328,0.9715480804443359,0.06502870470285416
