epoch,avg_pwr0,avg_pwr1,loss,mse0,mse1,psnr0,psnr1,psnr_fb0,psnr_fb1,psnr_metric,val_avg_pwr0,val_avg_pwr1,val_loss,val_mse0,val_mse1,val_psnr0,val_psnr1,val_psnr_fb0,val_psnr_fb1,val_psnr_metric
0,1.0,0.9999999403953552,0.05397613346576691,0.004107559099793434,0.05397613346576691,25.827112197875977,13.783958435058594,25.827112197875977,13.783958435058594,13.783958435058594,1.0,1.0,0.031381458044052124,0.004517324268817902,0.030966440215706825,24.442350387573242,15.751727104187012,24.442350387573242,15.751727104187012,15.751727104187012
1,1.0,1.0,0.020450975745916367,0.0038944401312619448,0.020450975745916367,26.11783218383789,18.048931121826172,26.11783218383789,18.048931121826172,18.048931121826172,1.0,1.0,0.01634124107658863,0.004550326615571976,0.016029786318540573,24.405641555786133,19.595109939575195,24.405641555786133,19.595109939575195,19.595109939575195
2,1.0,1.0,0.011443879455327988,0.0041035497561097145,0.011443877592682838,25.809358596801758,20.880769729614258,25.809358596801758,20.880769729614258,20.880769729614258,1.0,0.9999999403953552,0.011703700758516788,0.004534085281193256,0.011438452638685703,24.4412784576416,21.861608505249023,24.4412784576416,21.861608505249023,21.861608505249023
3,1.0,1.0,0.007547563407570124,0.003822898957878351,0.007547563407570124,26.1337947845459,23.023408889770508,26.1337947845459,23.023408889770508,23.023408889770508,1.0,1.0,0.009436949156224728,0.0045308382250368595,0.009225914254784584,24.410987854003906,22.826366424560547,24.410987854003906,22.826366424560547,22.826366424560547
4,1.0,1.0,0.005930902902036905,0.004153625573962927,0.005930902902036905,25.862510681152344,24.188688278198242,25.862510681152344,24.188688278198242,24.188688278198242,1.0,1.0,0.008455796167254448,0.0045445081777870655,0.008259733207523823,24.40450668334961,23.671300888061523,24.40450668334961,23.671300888061523,23.671300888061523
5,1.0,1.0,0.004974166862666607,0.004016018472611904,0.004974166862666607,25.952072143554688,24.906187057495117,25.952072143554688,24.906187057495117,24.906187057495117,1.0,1.0,0.007960060611367226,0.004545494914054871,0.0077771688811481,24.399778366088867,23.935178756713867,24.399778366088867,23.935178756713867,23.935178756713867
6,1.0,1.0,0.004389552399516106,0.0038465186953544617,0.004389552399516106,26.096426010131836,25.695642471313477,26.096426010131836,25.695642471313477,25.695642471313477,1.0,1.0,0.0070584677159786224,0.0045365216210484505,0.006897724233567715,24.412559509277344,24.376249313354492,24.412559509277344,24.376249313354492,24.376249313354492
7,1.0,1.0,0.00420614518225193,0.003844894701614976,0.00420614518225193,26.022981643676758,25.703760147094727,26.022981643676758,25.703760147094727,25.703760147094727,1.0,1.0,0.007197856903076172,0.0045628719963133335,0.007033887784928083,24.37053680419922,24.481470108032227,24.37053680419922,24.481470108032227,24.481470108032227
8,1.0,1.0,0.004043581895530224,0.004188730381429195,0.0040435828268527985,25.722393035888672,26.10519790649414,25.722393035888672,26.10519790649414,26.10519790649414,1.0,1.0,0.006733421701937914,0.004549574106931686,0.006580775137990713,24.397117614746094,24.731430053710938,24.397117614746094,24.731430053710938,24.731430053710938
9,1.0,1.0,0.0036542690359055996,0.003827729495242238,0.0036542690359055996,26.202913284301758,26.749004364013672,26.202913284301758,26.749004364013672,26.749004364013672,1.0,1.0,0.006187960039824247,0.00454053794965148,0.006051885429769754,24.417821884155273,24.895065307617188,24.417823791503906,24.895065307617188,24.895065307617188
10,1.0,1.0,0.0034996115136891603,0.003853654256090522,0.0034996122121810913,26.256797790527344,26.834566116333008,26.256797790527344,26.83456802368164,26.834566116333008,1.0,1.0,0.00618493789806962,0.004545073490589857,0.006046618334949017,24.39645004272461,25.002859115600586,24.39645004272461,25.002859115600586,25.002859115600586
11,1.0,1.0,0.003418365027755499,0.0039089135825634,0.003418365027755499,26.12881851196289,27.08361053466797,26.12881851196289,27.08361053466797,27.08361053466797,1.0,0.9999999403953552,0.005826224572956562,0.004560919478535652,0.005697472020983696,24.396238327026367,25.2906551361084,24.396238327026367,25.2906551361084,25.2906551361084
12,1.0,1.0,0.0034669709857553244,0.004043603781610727,0.0034669709857553244,26.0637149810791,27.129072189331055,26.0637149810791,27.129072189331055,27.129072189331055,1.0,1.0,0.005662077106535435,0.004544539377093315,0.005540937185287476,24.407638549804688,25.389476776123047,24.407638549804688,25.389476776123047,25.389476776123047
13,1.0,1.0,0.0032986775040626526,0.003998875617980957,0.0032986775040626526,26.024152755737305,27.157899856567383,26.024152755737305,27.157899856567383,27.157899856567383,1.0,1.0,0.00552115123718977,0.00451905932277441,0.005404939409345388,24.42843246459961,25.42678451538086,24.42843246459961,25.42678451538086,25.42678451538086
14,1.0,0.9999999403953552,0.0032977357041090727,0.004029492847621441,0.0032977357041090727,25.881874084472656,27.311363220214844,25.881874084472656,27.311363220214844,27.311363220214844,1.0,1.0,0.004988776054233313,0.0045584458857774734,0.004885976202785969,24.369802474975586,25.6898193359375,24.369802474975586,25.6898193359375,25.6898193359375
15,1.0,1.0,0.003104965202510357,0.003914018627256155,0.003104965202510357,26.037107467651367,27.542192459106445,26.037107467651367,27.542192459106445,27.542192459106445,1.0,1.0,0.00493236631155014,0.00453077582642436,0.004835203755646944,24.43368148803711,25.709131240844727,24.43368148803711,25.709131240844727,25.709131240844727
