epoch,avg_pwr0,loss,mse0,psnr0,psnr_fb0,psnr_metric,val_avg_pwr0,val_loss,val_mse0,val_psnr0,val_psnr_fb0,val_psnr_metric
0,1.0,0.04749557375907898,0.04749557375907898,14.520508766174316,14.520508766174316,14.520508766174316,1.0,0.03061569482088089,0.0301924217492342,16.635215759277344,16.635215759277344,16.635215759277344
1,1.0,0.014984136447310448,0.014984136447310448,19.63045310974121,19.63045310974121,19.63045310974121,1.0,0.014652974903583527,0.01442761905491352,19.58745574951172,19.58745574951172,19.58745574951172
2,1.0,0.008277474902570248,0.008277474902570248,22.26140594482422,22.26140594482422,22.26140594482422,1.0,0.009383986704051495,0.009226963855326176,22.189695358276367,22.189695358276367,22.189695358276367
3,1.0,0.006298738531768322,0.006298738531768322,23.62225914001465,23.62225914001465,23.62225914001465,1.0,0.009601372294127941,0.0094573013484478,21.9273738861084,21.9273738861084,21.9273738861084
4,1.0,0.005906884092837572,0.005906884092837572,24.036474227905273,24.036474227905273,24.036474227905273,1.0,0.008584597148001194,0.008418569341301918,22.962085723876953,22.962085723876953,22.962085723876953
5,1.0,0.005486196372658014,0.005486196372658014,24.425527572631836,24.425527572631836,24.425527572631836,0.9999999403953552,0.011981274001300335,0.01181518379598856,20.411983489990234,20.411983489990234,20.411983489990234
6,1.0,0.006184716708958149,0.006184716708958149,23.859519958496094,23.859516143798828,23.859519958496094,1.0,0.007656631991267204,0.007520954590290785,23.13922882080078,23.13922882080078,23.13922882080078
7,1.0,0.004097290337085724,0.004097290337085724,25.591657638549805,25.591657638549805,25.591657638549805,1.0,0.004980101250112057,0.004932997282594442,24.194435119628906,24.194435119628906,24.194435119628906
8,1.0,0.004337445367127657,0.004337445367127657,25.260393142700195,25.260393142700195,25.260393142700195,1.0,0.005096576642245054,0.005070697981864214,23.67176055908203,23.67176055908203,23.67176055908203
9,1.0,0.0037876584101468325,0.0037876584101468325,26.030141830444336,26.030141830444336,26.030141830444336,1.0,0.003667337354272604,0.003653393592685461,25.626142501831055,25.626142501831055,25.626142501831055
10,1.0,0.003637038404121995,0.003637038404121995,26.153963088989258,26.153963088989258,26.153963088989258,1.0,0.0036599028389900923,0.003644660348072648,25.523094177246094,25.523094177246094,25.523094177246094
11,1.0,0.003266899846494198,0.003266899846494198,26.816987991333008,26.816987991333008,26.816987991333008,1.0,0.003592026885598898,0.003574513830244541,25.487577438354492,25.487577438354492,25.487577438354492
12,1.0,0.003140370361506939,0.0031403698958456516,26.999099731445312,26.999099731445312,26.999099731445312,1.0,0.003351496998220682,0.0033302681986242533,25.964677810668945,25.964677810668945,25.964677810668945
13,1.0,0.0031282473355531693,0.0031282473355531693,26.874929428100586,26.874929428100586,26.874929428100586,1.0,0.004080215469002724,0.0040953196585178375,24.9011287689209,24.9011287689209,24.9011287689209
14,1.0,0.0037053076084703207,0.0037053076084703207,26.080080032348633,26.080080032348633,26.080080032348633,1.0,0.0042403629049658775,0.004200522322207689,24.93239974975586,24.93239974975586,24.93239974975586
15,1.0,0.0036928558256477118,0.0036928560584783554,26.04854965209961,26.04854965209961,26.04854965209961,1.0,0.003894580528140068,0.003887432161718607,25.063915252685547,25.063915252685547,25.063915252685547
