dataset,image,training_seed,channel_seed,snr_db,speed_kmh,scale_mode,method,nack,payload_uses,scale_bits,feedback_bits,total_uses,psnr,mse,lpips,ms_ssim,outage,false_ack
div2k,0821.png,2030,8001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,18.806520462036133,0.013162790797650814,0.655742883682251,0.6618660688400269,1,1
div2k,0822.png,2030,8001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,20.52513885498047,0.008861069567501545,0.6584353446960449,0.5872534513473511,1,1
div2k,0823.png,2030,8001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,19.78829002380371,0.010499556548893452,0.5937454700469971,0.7850964069366455,1,1
div2k,0824.png,2030,8001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,16.837919235229492,0.02071133442223072,0.6414057016372681,0.7180841565132141,1,1
div2k,0821.png,2030,8001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,22.000843048095703,0.006308348849415779,0.48333805799484253,0.7500289082527161,1,0
div2k,0822.png,2030,8001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,22.33791160583496,0.0058372593484818935,0.5785006284713745,0.702625572681427,1,0
div2k,0823.png,2030,8001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,20.236865997314453,0.009469201788306236,0.5808136463165283,0.8129330277442932,1,0
div2k,0824.png,2030,8001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,17.344308853149414,0.018431855365633965,0.6240564584732056,0.7540642619132996,1,0
div2k,0821.png,2030,8001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,18.707643508911133,0.01346590742468834,0.645248532295227,0.6508268713951111,1,1
div2k,0822.png,2030,8001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,20.261642456054688,0.009415334090590477,0.6723899841308594,0.5650396943092346,1,1
div2k,0823.png,2030,8001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,19.79661750793457,0.010479442775249481,0.5983144044876099,0.7832620143890381,1,1
div2k,0824.png,2030,8001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,16.84699821472168,0.02066808007657528,0.6421898603439331,0.7152799963951111,1,1
div2k,0821.png,2030,8001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,22.000843048095703,0.006308348849415779,0.48333805799484253,0.7500289082527161,1,0
div2k,0822.png,2030,8001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,22.33791160583496,0.0058372593484818935,0.5785006284713745,0.702625572681427,1,0
div2k,0823.png,2030,8001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,20.236865997314453,0.009469201788306236,0.5808136463165283,0.8129330277442932,1,0
div2k,0824.png,2030,8001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,17.344308853149414,0.018431855365633965,0.6240564584732056,0.7540642619132996,1,0
div2k,0821.png,2030,8001,0.0,30.0,ideal,flowharq,1,8192,4096,2,16388,22.000843048095703,0.006308348849415779,0.48333805799484253,0.7500289082527161,1,0
div2k,0822.png,2030,8001,0.0,30.0,ideal,flowharq,1,8192,4096,2,16388,22.33791160583496,0.0058372593484818935,0.5785006284713745,0.702625572681427,1,0
div2k,0823.png,2030,8001,0.0,30.0,ideal,flowharq,1,8192,4096,2,16388,20.236865997314453,0.009469201788306236,0.5808136463165283,0.8129330277442932,1,0
div2k,0824.png,2030,8001,0.0,30.0,ideal,flowharq,1,8192,4096,2,16388,17.344308853149414,0.018431855365633965,0.6240564584732056,0.7540642619132996,1,0
div2k,0821.png,2030,8001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,18.806560516357422,0.013162666000425816,0.6557389497756958,0.6618671417236328,1,1
div2k,0822.png,2030,8001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,20.525148391723633,0.008861048147082329,0.6584391593933105,0.5872523188591003,1,1
div2k,0823.png,2030,8001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,19.78830909729004,0.01049951184540987,0.593742847442627,0.7850977778434753,1,1
div2k,0824.png,2030,8001,0.0,30.0,binary16,direct,0,4096,4096,1,12290,16.83786964416504,0.020711569115519524,0.6414104104042053,0.7180840373039246,1,1
div2k,0821.png,2030,8001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,22.000865936279297,0.006308317184448242,0.4833405017852783,0.7500271797180176,1,0
div2k,0822.png,2030,8001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,22.337921142578125,0.005837246309965849,0.5785073041915894,0.7026250958442688,1,0
div2k,0823.png,2030,8001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,20.236865997314453,0.009469202719628811,0.580812931060791,0.8129332661628723,1,0
div2k,0824.png,2030,8001,0.0,30.0,binary16,full_harq,1,8192,4096,2,16388,17.344289779663086,0.01843193918466568,0.6240538358688354,0.754065990447998,1,0
