dataset,image,training_seed,channel_seed,snr_db,speed_kmh,scale_mode,method,nack,payload_uses,scale_bits,feedback_bits,total_uses,psnr,mse,lpips,ms_ssim,outage,false_ack
kodak,01.png,2030,9001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,18.343063354492188,0.014645145274698734,0.7518026828765869,0.540149986743927,1,1
kodak,02.png,2030,9001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,20.65908432006836,0.00859194714576006,0.6573399305343628,0.6500596404075623,1,1
kodak,03.png,2030,9001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,22.019287109375,0.006281616166234016,0.5124642252922058,0.7784457206726074,1,1
kodak,04.png,2030,9001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,26.220834732055664,0.0023873529862612486,0.5180138349533081,0.8768946528434753,0,0
kodak,01.png,2030,9001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,18.923255920410156,0.012813697569072247,0.7192454934120178,0.6124066710472107,1,0
kodak,02.png,2030,9001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,20.88831901550293,0.008150198496878147,0.6216027140617371,0.6939179301261902,1,0
kodak,03.png,2030,9001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,22.054527282714844,0.006230851169675589,0.49926555156707764,0.7917906641960144,1,0
kodak,04.png,2030,9001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,26.88399314880371,0.002049276838079095,0.4922756254673004,0.9008059501647949,0,0
kodak,01.png,2030,9001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,18.125225067138672,0.015398469753563404,0.7624166011810303,0.5194708704948425,1,1
kodak,02.png,2030,9001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,21.242292404174805,0.007512262556701899,0.6776614189147949,0.6094227433204651,1,1
kodak,03.png,2030,9001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,22.607852935791016,0.00548548111692071,0.5302119851112366,0.7726882100105286,1,1
kodak,04.png,2030,9001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,26.75611686706543,0.002110513625666499,0.5360917448997498,0.8721263408660889,0,0
kodak,01.png,2030,9001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,18.923255920410156,0.012813697569072247,0.7192454934120178,0.6124066710472107,1,0
kodak,02.png,2030,9001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,20.88831901550293,0.008150198496878147,0.6216027140617371,0.6939179301261902,1,0
kodak,03.png,2030,9001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,22.054527282714844,0.006230851169675589,0.49926555156707764,0.7917906641960144,1,0
